Name,Industry,Sector,Headquarters,Founded,Notes,"Status (P=Private, S=State; A=Active, D=Defunct)"
trivago,Technology,Internet,Düsseldorf,2005,"Hotel and travel search, part of Expedia, Inc. (US)",P | A
Trumpf,Industrials,Industrial machinery,Ditzingen,1923,Machine tools,P | A
T-Systems,Technology,Software,Frankfurt,2000,Part of Deutsche Telekom,P | A
TUI Group,Consumer services,Travel & leisure,Hanover,1923,"Hospitality, tourism",P | A
Uhlsport,Consumer goods,Clothing & accessories,Balingen,1948,Shoes & sports apparel & accessories manufacturer,P | A
Ulla Popken,Consumer goods,Clothing & accessories,Rastede,1880,Clothing,P | A
Ultrasone,Consumer goods,Consumer electronics,Tutzing,1991,Audio electronics,P | A
Underberg,Consumer goods,Brewers,Rheinberg,1846,Bitters,P | A
United Internet,Telecommunications,Fixed line telecommunications,Montabaur,1988,ISP,P | A
Vaude,Consumer goods,Recreational products,Tettnang,1974,"Clothing, mountain sports equipment",P | A
Vector Informatik,Technology,Software,Stuttgart,1988,Software,P | A
Veltins,Consumer goods,Brewers,Meschede,1824,Brewery,P | A
Vereinigte Flugtechnische Werke,Industrials,Aerospace,Bremen,1964,Defunct 1981,P | D
Viessmann,Industrials,General industrials,Allendorf (Eder),1917,Heating systems,P | A
Villeroy & Boch,Consumer goods,Durable household products,Mettlach,1748,Ceramics,P | A
Voith,Industrials,Industrial engineering,Heidenheim an der Brenz,1867,Mechanical engineering,P | A
Volkswagen Group,Consumer goods,Automobiles,Wolfsburg,1937,Automotive,P | A
Vonovia,Financials,Real estate,Bochum,2001,Real estate,P | A
Vossloh,Industrials,Industrial transportation,Werdohl,1888,Railway systems engineering,P | A
Vitesco Technologies,Industrials,Industrial suppliers,Regensburg,2019,Automotive parts,P | A
Wacker Chemie,Basic materials,Chemicals,Munich,1914,Chemicals,P | A
Wacker Neuson,Industrials,Construction & materials,Munich,1848,Construction equipment,P | A
WAGO Kontakttechnik,Industrials,Electrical components & equipment,Minden,1951,Electrical components,P | A
Warsteiner,Consumer goods,Brewers,Warstein,1753,Brewery,P | A
Wella,Consumer goods,Personal products,Darmstadt,1880,Hair care and cosmetics,P | A
Wera Werk Hermann Werner,Consumer goods,Durable household products,Wuppertal,1936,Tools,P | A
Werner & Mertz,Consumer goods,Personal products,Mainz,1867,Chemical industry,P | A
Weser Flugzeugbau,Industrials,Aerospace,Bremen,1934,Defunct 1964,P | D
Wilkhahn,Consumer goods,Furnishings,Bad Münder,1907,Office furniture,P | A
Wintershall,Oil & gas,Exploration & production,Kassel,1894,Part of BASF,P | A
Wirecard,Financials,Financial services,Aschheim,1999,Payment solutions,P | A
Wittenstein,Industrials,Industrial engineering,Igersheim,1949,Mechanical engineering,P | A
Wolff & Müller,Industrials,Heavy construction,Stuttgart,1936,Construction,P | A
Wortmann,Technology,Computer hardware,Hüllhorst,1986,Computer manufacturer,P | A
WTS Group,Conglomerates,International consulting,Munich,2000,"Tax, legal and business",P | A
Würth,Industrials,General industrials,Künzelsau,1945,Fasteners,P | A
Wüsthof,Consumer goods,Durable household products,Solingen,1814,Kitchen knives,P | A
ZF Friedrichshafen,Industrials,Industrial suppliers,Friedrichshafen,1915,Automotive parts,P | A
Ziehl-Abegg,Industrials,Electrical components & equipment,Künzelsau,1910,Electrical components,P | A
